annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction,prix_m2,age_bien_estime,annee_publication,mois_publication,trimestre_publication,nom_mois_publication,categorie_surface,categorie_prix,segment_marche
ANO001322,2024-11-20,Beau Villa Oujda,oujda,hay qods,villa,vente,2584419.84,201.34,6,4,0,2012,12836.09734776994,14,2024,11,4,November,Grand (> 150 m²),High standard,Market Standard
ANO000652,2023-05-19,Beau Bureau Tétouan,tétouan,m'diq,bureau,vente,938493.46,96.17,0,0,1,2020,9758.692523656026,6,2023,5,2,May,Moyen (80-150 m²),Medium,Market Standard
ANO000305,2024-08-10,Appartement à vente - Marrakech,marrakech,targa,appartement,vente,579926.04,124.44,1,1,2,2009,4660.2864030858245,17,2024,8,3,August,Moyen (80-150 m²),High standard,Market Standard
ANO001304,2024-12-20,Villa à vente - Kenitra,kenitra,centre,villa,vente,4894844.8,136.78,5,2,0,2011,35786.26114929083,15,2024,12,4,December,Moyen (80-150 m²),Luxury,Market Standard
ANO000581,2023-07-13,Villa moderne Casablanca,casablanca,bourgogne,villa,vente,2147775.39,236.49,3,1,0,2001,9081.886718254473,25,2023,7,3,July,Grand (> 150 m²),Medium,Market Standard
ANO001237,2024-05-16,Appartement 85m² Marrakech,marrakech,inconnu,appartement,vente,2169626.74,85.99,2,1,0,2010,25231.151761832774,16,2024,5,2,May,Moyen (80-150 m²),Luxury,Exception (Luxury/Grand)
ANO000582,2023-07-17,Appartement moderne Marrakech,marrakech,hivernage,appartement,location,9859.01,61.82,3,2,2,2011,159.47929472662568,15,2023,7,3,July,Petit (< 80 m²),Medium,Market Standard
ANO000797,2024-06-08,Beau Villa Tétouan,tétouan,m'diq,villa,vente,2645099.21,332.82,4,2,0,2010,7947.536836728562,16,2024,6,2,June,Grand (> 150 m²),High standard,Market Standard
ANO001019,2023-07-27,Villa moderne Tétouan,tétouan,inconnu,villa,vente,3067468.29,181.46,4,2,0,2010,16904.377218119695,16,2023,7,3,July,Grand (> 150 m²),High standard,Market Standard
ANO000808,2024-03-13,Villa 231m² Ville Nouvelle,fès,ville nouvelle,villa,vente,2784795.0,231.65,5,2,0,1999,12021.562702352687,27,2024,3,1,March,Grand (> 150 m²),High standard,Market Standard
ANO000140,2024-11-20,Beau Duplex Casablanca,casablanca,maarif,duplex,vente,1869404.78,208.96,4,3,0,2001,8946.23267611026,25,2024,11,4,November,Grand (> 150 m²),High standard,Market Standard
ANO001004,2023-01-17,Beau Bureau Marrakech,marrakech,inconnu,bureau,vente,1011550.14,116.25,0,0,7,2008,8701.506580645162,18,2023,1,1,January,Moyen (80-150 m²),Medium,Market Standard
ANO000298,2023-10-31,Bureau à vente - Meknès,meknès,inconnu,bureau,vente,1402909.61,162.67,0,0,5,2010,8624.267596975473,16,2023,10,4,October,Grand (> 150 m²),Luxury,Market Standard
ANO000290,2023-04-13,Appartement moderne Tétouan,tétouan,centre,appartement,vente,590134.81,101.46,3,2,4,2024,5816.428247585256,2,2023,4,2,April,Moyen (80-150 m²),High standard,Market Standard
ANO000236,2023-04-19,Beau Villa Tétouan,tétouan,m'diq,villa,vente,2503004.98,147.57,4,3,0,2024,16961.47577420885,2,2023,4,2,April,Moyen (80-150 m²),High standard,Market Standard
ANO000484,2024-10-29,Beau Appartement Agadir,agadir,inconnu,appartement,location,8034.03,92.72,3,2,0,2023,86.64829594477997,3,2024,10,4,October,Moyen (80-150 m²),Economy,Market Standard
ANO000460,2023-01-27,Appartement moderne Meknès,meknès,inconnu,appartement,vente,674788.56,69.86,1,1,0,2024,9659.154881190954,2,2023,1,1,January,Petit (< 80 m²),Luxury,Market Standard
ANO001273,2023-03-19,Appartement moderne Rabat,rabat,hay riad,appartement,vente,504061.94,81.91,1,1,2,1994,6153.851056037114,32,2023,3,1,March,Moyen (80-150 m²),High standard,Market Standard
ANO000613,2024-02-12,Beau Appartement Kenitra,kenitra,inconnu,appartement,vente,1542509.52,87.71,2,1,5,2009,17586.472694105578,17,2024,2,1,February,Moyen (80-150 m²),Luxury,Market Standard
ANO000162,2023-11-15,Duplex 112m² Talborjt,agadir,talborjt,duplex,vente,1922078.18,112.18,3,2,1,2008,17133.87573542521,18,2023,11,4,November,Moyen (80-150 m²),High standard,Market Standard
ANO000527,2023-02-15,Appartement moderne Tétouan,tétouan,centre,appartement,vente,461849.01,64.74,2,2,0,2011,7133.905004633921,15,2023,2,1,February,Petit (< 80 m²),Medium,Market Standard
ANO000669,2023-06-16,Appartement moderne Tétouan,tétouan,centre,appartement,vente,322766.24,90.33,2,2,3,2011,3573.189859404406,15,2023,6,2,June,Moyen (80-150 m²),Medium,Market Standard
ANO000595,2024-03-03,Beau Appartement Casablanca,casablanca,inconnu,appartement,vente,369433.56,104.0,2,1,1,2001,3552.2457692307694,25,2024,3,1,March,Moyen (80-150 m²),Medium,Market Standard
ANO000036,2023-01-03,Appartement 132m² Meknès,meknès,inconnu,appartement,vente,598486.1,132.15,1,1,2,2011,4528.839197881195,15,2023,1,1,January,Moyen (80-150 m²),High standard,Market Standard
ANO000045,2023-01-30,Appartement moderne Casablanca,casablanca,maarif,appartement,vente,422523.55,96.84,3,1,3,1986,4363.109768690623,40,2023,1,1,January,Moyen (80-150 m²),Medium,Market Standard
ANO000304,2023-11-21,Villa à vente - Fès,fès,medina,villa,vente,3281627.36,225.38,6,3,0,2003,14560.419558079688,23,2023,11,4,November,Grand (> 150 m²),High standard,Market Standard
ANO001498,2024-08-03,Appartement 70m² Fès,fès,inconnu,appartement,vente,435091.73,70.27,2,1,2,1993,6191.71381813007,33,2024,8,3,August,Petit (< 80 m²),Medium,Market Standard
ANO000016,2023-10-11,Beau Appartement Casablanca,casablanca,anfa,appartement,vente,1712062.32,73.48,4,2,3,2015,23299.704953728906,11,2023,10,4,October,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO000475,2023-12-27,Villa moderne Fès,fès,inconnu,villa,location,8070.09,182.86,3,2,0,1984,44.132615115388816,42,2023,12,4,December,Grand (> 150 m²),Economy,Market Standard
ANO001325,2024-03-18,Appartement 87m² Hay Essalam,kenitra,hay essalam,appartement,location,8556.1,87.17,1,1,2,2012,98.15418148445566,14,2024,3,1,March,Moyen (80-150 m²),Medium,Market Standard
ANO001114,2024-09-27,Beau Bureau Fès,fès,ville nouvelle,bureau,vente,1918544.33,148.24,0,0,5,1994,12942.150094441446,32,2024,9,3,September,Moyen (80-150 m²),Luxury,Market Standard
ANO000185,2023-09-12,Beau Duplex Agadir,agadir,centre,duplex,vente,2500669.24,162.72,3,2,8,2012,15367.927974434613,14,2023,9,3,September,Grand (> 150 m²),Luxury,Market Standard
ANO000252,2023-10-26,Terrain 186m² Hay Qods,oujda,hay qods,terrain,vente,1116092.54,186.07,0,0,0,2024,5998.240124684259,2,2023,10,4,October,Grand (> 150 m²),Luxury,Market Standard
ANO000182,2024-09-26,Beau Appartement Tétouan,tétouan,inconnu,appartement,vente,722988.23,2500.0,3,2,3,2011,289.195292,15,2024,9,3,September,Grand (> 150 m²),Luxury,Exception (Luxury/Grand)
ANO001408,2024-10-26,Beau Appartement Casablanca,casablanca,bourgogne,appartement,vente,651372.93,84.86,3,1,0,2017,7675.85352345039,9,2024,10,4,October,Moyen (80-150 m²),High standard,Market Standard
ANO001210,2023-06-05,Beau Bureau Kenitra,kenitra,centre,bureau,vente,1505611.91,58.29,0,0,3,2004,25829.6776462515,22,2023,6,2,June,Petit (< 80 m²),Luxury,Market Standard
ANO001289,2024-03-07,Villa à vente - Oujda,oujda,hay qods,villa,vente,2014071.06,191.72,5,2,0,2009,10505.273628207804,17,2024,3,1,March,Grand (> 150 m²),Medium,Market Standard
ANO000691,2023-05-21,Terrain moderne Fès,fès,inconnu,terrain,vente,1089619.25,448.34,0,0,0,2001,2430.3413703885444,25,2023,5,2,May,Grand (> 150 m²),Luxury,Market Standard
ANO000429,2023-02-05,Appartement moderne Rabat,rabat,ocean,appartement,location,1822.73,51.72,2,2,3,1972,35.2422660479505,54,2023,2,1,February,Petit (< 80 m²),Economy,Market Standard
ANO001301,2023-04-01,Bureau à vente - Tanger,tanger,iberia,bureau,vente,977552.5,114.8,0,0,3,2008,8515.26567944251,18,2023,4,2,April,Moyen (80-150 m²),Medium,Market Standard
ANO000156,2024-02-07,Beau Appartement Tétouan,tétouan,m'diq,appartement,vente,523483.65,100.35,3,1,1,2016,5216.578475336323,10,2024,2,1,February,Moyen (80-150 m²),High standard,Market Standard
ANO001389,2023-10-16,Beau Appartement Tanger,tanger,malabata,appartement,vente,498067.13,104.85,3,1,2,2007,4750.282594182166,19,2023,10,4,October,Moyen (80-150 m²),Medium,Market Standard
ANO000810,2023-12-06,Beau Terrain Tanger,tanger,inconnu,terrain,location,3125.37,434.92,0,0,0,2007,7.186080198657224,19,2023,12,4,December,Grand (> 150 m²),Economy,Market Standard
ANO001208,2023-02-12,Beau Duplex Fès,fès,zouagha,duplex,vente,2010887.94,51.09,3,2,6,2000,39359.71697005285,26,2023,2,1,February,Petit (< 80 m²),High standard,Market Standard
ANO001158,2024-09-26,Beau Appartement Meknès,meknès,hamria,appartement,location,2161.18,86.31,3,2,4,2001,25.0397404703974,25,2024,9,3,September,Moyen (80-150 m²),Economy,Market Standard
ANO001432,2024-01-10,Appartement à vente - Kenitra,kenitra,inconnu,appartement,vente,524983.81,115.17,4,2,0,1997,4558.3381957106885,29,2024,1,1,January,Moyen (80-150 m²),High standard,Market Standard
ANO000993,2024-05-22,Terrain moderne Rabat,rabat,ocean,terrain,location,4716.45,2500.0,0,0,0,2008,1.88658,18,2024,5,2,May,Grand (> 150 m²),Medium,Exception (Luxury/Grand)
ANO000255,2023-09-17,Villa à vente - Casablanca,casablanca,non spécifié,villa,vente,9840126.81,242.32,4,2,0,2017,40607.98452459558,9,2023,9,3,September,Grand (> 150 m²),Luxury,Market Standard
ANO000238,2024-12-07,Appartement moderne Agadir,agadir,hay mohammadi,appartement,vente,538394.43,71.38,2,2,0,2013,7542.651022695434,13,2024,12,4,December,Petit (< 80 m²),High standard,Market Standard
ANO000748,2024-11-04,Terrain 537m² Non spécifié,casablanca,non spécifié,terrain,vente,975323.89,537.17,0,0,0,1976,1815.6708118472739,50,2024,11,4,November,Grand (> 150 m²),Luxury,Market Standard
ANO001016,2023-01-14,Terrain moderne Tanger,tanger,inconnu,terrain,vente,185017.62,439.09,0,0,0,2007,421.3660525177071,19,2023,1,1,January,Grand (> 150 m²),Medium,Market Standard
ANO000686,2023-12-12,Appartement à vente - Tanger,tanger,inconnu,appartement,vente,1672296.86,73.09,2,1,3,2016,22879.967984676427,10,2023,12,4,December,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO000035,2024-07-25,Appartement à vente - Meknès,meknès,inconnu,appartement,vente,508874.26,64.94,4,2,3,2008,7836.068062827226,18,2024,7,3,July,Petit (< 80 m²),High standard,Market Standard
ANO000335,2024-10-26,Beau Terrain Marrakech,marrakech,targa,terrain,vente,817889.11,222.37,0,0,0,2015,3678.0550883662363,11,2024,10,4,October,Grand (> 150 m²),High standard,Market Standard
ANO000127,2024-04-05,Appartement 64m² Talborjt,agadir,talborjt,appartement,location,11503.68,64.79,2,2,0,2003,177.5533261305757,23,2024,4,2,April,Petit (< 80 m²),Medium,Market Standard
ANO000822,2023-05-02,Beau Terrain Kenitra,kenitra,centre,terrain,location,1714.81,404.3,0,0,0,2017,4.241429631461785,9,2023,5,2,May,Grand (> 150 m²),Economy,Market Standard
ANO001291,2024-11-18,Appartement à vente - Casablanca,casablanca,maarif,appartement,vente,1443911.23,88.94,3,2,5,1983,16234.666404317517,43,2024,11,4,November,Moyen (80-150 m²),Luxury,Market Standard
ANO000831,2024-07-12,Villa à vente - Rabat,rabat,inconnu,villa,vente,2193081.13,194.82,4,2,0,1992,11256.960938302022,34,2024,7,3,July,Grand (> 150 m²),Medium,Market Standard
ANO000972,2023-08-28,Villa moderne Fès,fès,ville nouvelle,villa,vente,2578960.92,304.84,4,3,0,2024,8460.047631544418,2,2023,8,3,August,Grand (> 150 m²),High standard,Market Standard
ANO000933,2024-04-12,Beau Appartement Fès,fès,ville nouvelle,appartement,vente,2229251.13,40.35,3,1,0,1994,55247.859479553896,32,2024,4,2,April,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO000096,2023-04-26,Villa moderne Fès,fès,inconnu,villa,location,4895.82,237.86,5,3,0,2008,20.58277978642899,18,2023,4,2,April,Grand (> 150 m²),Economy,Market Standard
ANO001150,2024-08-20,Appartement moderne Fès,fès,inconnu,appartement,vente,453404.02,75.31,3,1,2,1993,6020.5021909440975,33,2024,8,3,August,Petit (< 80 m²),Medium,Market Standard
ANO000983,2024-03-05,Appartement moderne Tanger,tanger,malabata,appartement,vente,560225.13,15.0,2,1,6,2008,37348.342,18,2024,3,1,March,Petit (< 80 m²),High standard,Exception (Luxury/Grand)
ANO000360,2024-07-11,Appartement 122m² Tétouan,tétouan,inconnu,appartement,vente,1828753.94,122.52,3,2,2,2016,14926.166666666666,10,2024,7,3,July,Moyen (80-150 m²),Luxury,Exception (Luxury/Grand)
ANO000889,2024-04-19,Appartement moderne Oujda,oujda,inconnu,appartement,vente,605584.76,50.82,2,1,0,2016,11916.268398268398,10,2024,4,2,April,Petit (< 80 m²),High standard,Market Standard
ANO001111,2024-03-29,Appartement à vente - Casablanca,casablanca,hay mohammadi,appartement,vente,659652.59,46.36,2,2,0,2023,14228.916954270922,3,2024,3,1,March,Petit (< 80 m²),High standard,Market Standard
ANO000641,2024-07-22,Duplex moderne Oujda,oujda,inconnu,duplex,vente,612420.11,187.4,4,2,3,2001,3267.9835112059764,25,2024,7,3,July,Grand (> 150 m²),Medium,Market Standard
ANO001146,2024-04-30,Beau Appartement Oujda,oujda,hay qods,appartement,vente,2355614.85,99.34,3,2,0,2011,23712.65200322126,15,2024,4,2,April,Moyen (80-150 m²),Luxury,Exception (Luxury/Grand)
ANO000979,2024-12-14,Terrain moderne Kenitra,kenitra,hay essalam,terrain,vente,1062814.04,476.72,0,0,0,2005,2229.430357442524,21,2024,12,4,December,Grand (> 150 m²),Luxury,Market Standard
ANO000483,2023-09-18,Villa 296m² Agdal,rabat,agdal,villa,vente,5207074.98,296.91,5,2,0,2018,17537.55340002021,8,2023,9,3,September,Grand (> 150 m²),Luxury,Market Standard
ANO001145,2024-02-08,Appartement 82m² Malabata,tanger,malabata,appartement,location,2450.68,82.55,2,1,0,2010,29.687219866747427,16,2024,2,1,February,Moyen (80-150 m²),Economy,Market Standard
ANO001308,2023-03-27,Villa moderne Kenitra,kenitra,inconnu,villa,vente,6336352.12,222.29,6,4,0,1997,28504.890548382744,29,2023,3,1,March,Grand (> 150 m²),Luxury,Market Standard
ANO000609,2024-05-19,Villa 285m² Centre,tétouan,centre,villa,location,9137.31,285.36,5,2,0,2001,32.020290159798144,25,2024,5,2,May,Grand (> 150 m²),Economy,Market Standard
ANO000900,2024-12-30,Bureau moderne Agadir,agadir,centre,bureau,vente,675112.32,144.88,0,0,4,2020,4659.803423522915,6,2024,12,4,December,Moyen (80-150 m²),Medium,Market Standard
ANO001413,2024-10-12,Beau Appartement Meknès,meknès,hamria,appartement,location,2888.84,76.32,3,1,7,2021,37.85167714884697,5,2024,10,4,October,Petit (< 80 m²),Economy,Market Standard
ANO001033,2023-03-18,Beau Bureau Oujda,oujda,inconnu,bureau,vente,1616689.87,143.34,0,0,0,2008,11278.707060136738,18,2023,3,1,March,Moyen (80-150 m²),Luxury,Market Standard
ANO000567,2024-02-08,Terrain 321m² Tanger,tanger,inconnu,terrain,location,3816.69,321.55,0,0,0,2012,11.869662571917276,14,2024,2,1,February,Grand (> 150 m²),Economy,Market Standard
ANO000103,2023-08-28,Appartement 70m² Centre,kenitra,centre,appartement,location,2813.28,70.21,2,2,1,2014,40.069505768409066,12,2023,8,3,August,Petit (< 80 m²),Economy,Market Standard
ANO000496,2023-07-09,Appartement à vente - Kenitra,kenitra,inconnu,appartement,vente,2373036.33,49.54,1,1,0,1995,47901.4196608801,31,2023,7,3,July,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO000026,2024-07-13,Appartement à vente - Tétouan,tétouan,m'diq,appartement,vente,648628.3,87.18,2,2,6,2007,7440.104381738931,19,2024,7,3,July,Moyen (80-150 m²),High standard,Market Standard
ANO001495,2024-03-28,Appartement à vente - Oujda,oujda,centre,appartement,vente,448581.52,98.83,2,2,2,2011,4538.92057067692,15,2024,3,1,March,Moyen (80-150 m²),Medium,Market Standard
ANO000263,2023-12-02,Terrain moderne Marrakech,marrakech,gueliz,terrain,location,4200.71,355.1,0,0,0,2009,11.829653618698957,17,2023,12,4,December,Grand (> 150 m²),Economy,Market Standard
ANO001209,2024-06-05,Beau Appartement Marrakech,marrakech,targa,appartement,vente,777732.04,61.3,2,1,2,2003,12687.308972267538,23,2024,6,2,June,Petit (< 80 m²),Luxury,Market Standard
ANO000212,2024-07-26,Beau Appartement Tétouan,tétouan,m'diq,appartement,location,1995.1,12.0,2,1,2,1996,166.25833333333333,30,2024,7,3,July,Petit (< 80 m²),Economy,Exception (Luxury/Grand)
ANO000314,2023-07-21,Villa 147m² Ocean,rabat,ocean,villa,vente,5153882.05,147.58,4,1,0,2013,34922.632131725164,13,2023,7,3,July,Moyen (80-150 m²),Luxury,Market Standard
ANO001228,2024-06-28,Beau Bureau Casablanca,casablanca,ain diab,bureau,location,4170.35,127.15,0,0,6,2018,32.79866299646088,8,2024,6,2,June,Moyen (80-150 m²),Economy,Market Standard
ANO000526,2024-05-21,Appartement 44m² Hivernage,marrakech,hivernage,appartement,vente,545723.02,44.62,3,2,0,2019,12230.457642312866,7,2024,5,2,May,Petit (< 80 m²),High standard,Market Standard
ANO000363,2023-05-14,Appartement moderne Oujda,oujda,centre,appartement,vente,673634.01,90.97,2,2,10,2007,7405.012751456525,19,2023,5,2,May,Moyen (80-150 m²),Luxury,Market Standard
ANO000821,2024-10-17,Beau Villa Oujda,oujda,hay qods,villa,vente,2237977.63,309.41,4,2,0,2013,7233.04880255971,13,2024,10,4,October,Grand (> 150 m²),Medium,Market Standard
ANO000611,2023-12-19,Appartement 90m² Tanger,tanger,inconnu,appartement,vente,634985.73,90.83,2,2,1,2017,6990.925134867334,9,2023,12,4,December,Moyen (80-150 m²),High standard,Market Standard
ANO000108,2023-10-30,Beau Appartement Marrakech,marrakech,hivernage,appartement,location,2485.68,64.54,2,2,2,2010,38.51378989773783,16,2023,10,4,October,Petit (< 80 m²),Economy,Market Standard
ANO000386,2023-06-30,Terrain 217m² Talborjt,agadir,talborjt,terrain,vente,1102945.13,217.42,0,0,0,2024,5072.87797810689,2,2023,6,2,June,Grand (> 150 m²),Luxury,Market Standard
ANO001485,2023-02-10,Villa moderne Rabat,rabat,hay riad,villa,vente,2774836.01,273.73,5,3,0,2019,10137.127863222882,7,2023,2,1,February,Grand (> 150 m²),High standard,Market Standard
ANO000225,2023-10-21,Bureau à location - Oujda,oujda,inconnu,bureau,location,4251.7,3000.0,0,0,3,1998,1.4172333333333333,28,2023,10,4,October,Grand (> 150 m²),Economy,Exception (Luxury/Grand)
ANO000757,2023-02-20,Appartement 82m² Californie,casablanca,californie,appartement,vente,489498.42,82.96,1,1,1,2005,5900.414898746384,21,2023,2,1,February,Moyen (80-150 m²),Medium,Market Standard
ANO001453,2024-07-22,Appartement à vente - Fès,fès,ville nouvelle,appartement,vente,577244.14,76.9,3,1,0,2008,7506.425747724317,18,2024,7,3,July,Petit (< 80 m²),High standard,Market Standard
ANO000872,2023-08-07,Appartement 99m² Meknès,meknès,inconnu,appartement,location,7989.57,99.97,4,2,2,2015,79.91967590277083,11,2023,8,3,August,Moyen (80-150 m²),Economy,Market Standard
ANO000964,2023-10-29,Appartement à vente - Oujda,oujda,hay qods,appartement,vente,595958.68,88.53,2,2,3,1992,6731.714447080087,34,2023,10,4,October,Moyen (80-150 m²),High standard,Market Standard
ANO001006,2023-04-29,Appartement 47m² Meknès,meknès,inconnu,appartement,vente,674605.46,47.02,3,1,0,1987,14347.202467035302,39,2023,4,2,April,Petit (< 80 m²),Luxury,Market Standard
ANO001459,2024-09-02,Appartement à location - Tanger,tanger,malabata,appartement,location,2677.33,101.15,3,1,3,1991,26.46890756302521,35,2024,9,3,September,Moyen (80-150 m²),Economy,Market Standard
ANO001367,2024-10-12,Beau Bureau Agadir,agadir,centre,bureau,vente,1147132.26,122.89,0,0,6,1997,9334.626576613231,29,2024,10,4,October,Moyen (80-150 m²),High standard,Market Standard
ANO000435,2023-08-23,Bureau à vente - Agadir,agadir,talborjt,bureau,vente,1130016.1,89.77,0,0,3,2014,12587.90353124652,12,2023,8,3,August,Moyen (80-150 m²),High standard,Market Standard
ANO000663,2023-05-25,Beau Terrain Tanger,tanger,inconnu,terrain,vente,60000000.0,361.94,0,0,0,2004,165773.33259656298,22,2023,5,2,May,Grand (> 150 m²),Luxury,Exception (Luxury/Grand)
